title,openDate,finalDate,info,image,categoryName,category
스트릿 우먼 파이터2: ON THE STAGE [수원],2023.12.25,2023.12.25,수원컨벤션센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228212_231020_101242.gif,대중무용,공연 전시
"헬로카봇 시즌7, 웰컴 투 파라다이스 [광주]",2023.12.23,2023.12.24,조선대학교,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228211_231020_101220.jpg,뮤지컬,공연 전시
손열음의 커튼콜,2023.12.28,2023.12.28,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228210_231020_101054.gif,서양음악(클래식),공연 전시
스트릿 우먼 파이터2: ON THE STAGE [대구],2023.12.16,2023.12.16,엑스코(exco),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228209_231020_100431.gif,대중무용,공연 전시
"로이킴 콘서트, Roy Note",2023.12.02,2023.12.03,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228208_231020_100331.gif,콘서트,공연 전시
이프온리 크리스마스 특별공연 [고양],2023.12.22,2023.12.24,고양아람누리,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228207_231020_100330.jpg,연극,공연 전시
신세계와 함께하는 예술의전당 토요콘서트 (12월),2023.12.16,2023.12.16,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF228206_231020_095652.gif,서양음악(클래식),공연 전시
스트릿 우먼 파이터2: ON THE STAGE [광주],2023.12.30,2023.12.30,광주여자대학교,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228205_231020_095303.gif,대중무용,공연 전시
난타 [대구],2023.12.20,2023.12.25,수성아트피아,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228204_231020_095244.gif,뮤지컬,공연 전시
스트릿 우먼 파이터2: ON THE STAGE [서울],2023.12.01,2023.12.03,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228203_231020_094716.gif,대중무용,공연 전시
"크리스마스 콘서트, 유키 구라모토와 친구들",2023.12.25,2023.12.25,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228202_231020_093535.jpg,서양음악(클래식),공연 전시
백설공주 [김천],2023.12.02,2023.12.02,김천시립문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228201_231020_093349.gif,뮤지컬,공연 전시
"신비아파트 시즌6, 붉은 눈의 저주 [서울(앵콜)]",2023.12.23,2024.01.07,유니버설아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228198_231019_132623.png,뮤지컬,공연 전시
광주시립교향악단 GSO 오티움 콘서트 Ⅴ: Schubert's,2023.11.29,2023.11.29,예술의 전당 [광주] (구. 광주문화예술회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228197_231019_132155.jpg,서양음악(클래식),공연 전시
"AKMU CONCERT, AKMUTOPIA [창원]",2023.12.30,2023.12.30,창원컨벤션센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228196_231019_131544.jpg,콘서트,공연 전시
"AKMU CONCERT, AKMUTOPIA [부산]",2023.12.02,2023.12.03,벡스코 (BEXCO),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228194_231019_131042.jpg,콘서트,공연 전시
"AKMU CONCERT, AKMUTOPIA [광주]",2023.12.09,2023.12.09,광주여자대학교,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228193_231019_130405.png,콘서트,공연 전시
에곤 실레,2023.12.09,2024.03.10,서경대학교 공연예술센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228192_231019_125239.jpg,뮤지컬,공연 전시
리처드 용재 오닐 & 임동혁 on 크리스마스 이브,2023.12.24,2023.12.24,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228189_231019_122617.jpg,서양음악(클래식),공연 전시
"대구시립국악단 화요국악무대, 민속음악 멋과 흥",2023.11.21,2023.11.21,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228187_231019_121900.jpg,한국음악(국악),공연 전시
아무도 없는 곳에서 모두가 있는 곳으로,2023.11.18,2023.11.18,노들섬,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228184_231019_120100.jfif,콘서트,공연 전시
라이어 1탄 [부산],2023.12.01,2023.12.10,해운대문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228182_231019_115141.jpg,연극,공연 전시
실험실 콘서트 [대구],2023.11.18,2023.11.18,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228180_231019_114602.jpg,서양음악(클래식),공연 전시
리처드 용재 오닐 & 임동혁 듀오 리사이틀 [창원],2023.12.16,2023.12.16,3.15아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228175_231019_111709.jpg,서양음악(클래식),공연 전시
비밀의 노래,2023.11.11,2023.11.19,대학로예술극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228171_231019_110553.jpg,연극,공연 전시
슈퍼스타 뽀로로 드림콘서트 [천안],2023.12.23,2023.12.24,천안시시민문화여성회관 성환분관(성환문화회관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF228167_231019_105048.jpg,뮤지컬,공연 전시
"국립발레단, 호두까기인형 [대구]",2023.11.23,2023.11.24,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF228161_231019_103916.jpg,무용,공연 전시
